"","player_name","player_team","round","DSSal_Hist","dreamTeamPoints"
"1126","Hayden Crozier","WBD",24,10150,61
"1127","Harry Perryman","GWS",24,10720,77
"1128","Marcus Bontempelli","WBD",24,15150,71
"1129","Matthew Suckling","WBD",24,11970,84
"1130","Zac Williams","GWS",24,14640,70
"1131","Matt de Boer","GWS",24,9950,68
"1132","Brett Deledio","GWS",24,10600,51
"1133","Sam Taylor","GWS",24,6470,47
"1134","Ed Richards","WBD",24,7360,38
"1135","Jeremy Finlayson","GWS",24,10480,81
"1136","Easton Wood","WBD",24,7020,55
"1137","Harry Himmelberg","GWS",24,9050,58
"1138","Daniel Lloyd","GWS",24,8390,47
"1139","Zaine Cordy","WBD",24,5820,32
"1140","Sam J. Reid","GWS",24,9140,32
"1141","Sam Lloyd","WBD",24,10960,45
"1142","Phil Davis","GWS",24,9900,29
"1143","Brent Daniels","GWS",24,9410,73
"1144","Taylor Duryea","WBD",24,11450,80
"1145","Aaron Naughton","WBD",24,9760,43
"1146","Aidan Corr","GWS",24,6360,44
"1194","Todd Goldstein","NTH",13,12800,83
"1195","Josh Kelly","GWS",13,16640,148
"1196","Jake Stein","GWS",13,5000,59
"1197","Tim Taranto","GWS",13,15830,156
"1198","Harry Perryman","GWS",13,11180,75
"1199","Stephen Coniglio","GWS",13,16050,116
"1200","Jacob Hopper","GWS",13,12440,118
"1201","Luke Davies-Uniacke","NTH",13,7930,52
"1202","Shane Mumford","GWS",13,9680,97
"1203","Taylor Garner","NTH",13,6470,69
"1204","Jack Ziebell","NTH",13,14430,82
"1205","Toby Greene","GWS",13,10830,90
"1206","Heath Shaw","GWS",13,12520,59
"1207","Brett Deledio","GWS",13,10240,88
"1208","Ben Cunnington","NTH",13,12810,55
"1209","Jared Polec","NTH",13,12160,58
"1210","Jed Anderson","NTH",13,11460,97
"1211","Harry Himmelberg","GWS",13,8660,67
"1212","Cameron Zurhaar","NTH",13,8950,36
"1213","Luke McDonald","NTH",13,8080,78
"1214","Matt de Boer","GWS",13,10200,47
"1215","Trent Dumont","NTH",13,13590,53
"1216","Sam J. Reid","GWS",13,9540,44
"1217","Matt Buntine","GWS",13,7130,71
"1218","Jy Simpkin","NTH",13,9700,33
"1219","Brent Daniels","GWS",13,7310,55
"1220","Tarryn Thomas","NTH",13,7670,74
"1221","Zac Williams","GWS",13,12230,114
"1222","Scott D. Thompson","NTH",13,8650,44
"1223","Mason Wood","NTH",13,10870,31
"1224","Adam Tomlinson","GWS",13,11720,61
"1225","Jeremy Cameron","GWS",13,13220,41
"1226","Sam Durdin","NTH",13,5000,44
"1227","Sam Taylor","GWS",13,6300,41
"1228","Adam Kennedy","GWS",13,9700,35
"1229","Kayne Turner","NTH",13,8360,64
"1230","Jasper Pittard","NTH",13,10750,72
"1231","Jeremy Finlayson","GWS",13,11350,49
"1232","Phil Davis","GWS",13,9960,60
"1233","Shaun Atley","NTH",13,9760,63
"1234","Ben Brown","NTH",13,10230,62
"1235","Robbie Tarrant","NTH",13,9500,50
"1236","Marley Williams","NTH",13,8400,69
"1237","Nick Larkey","NTH",13,7420,53
"1286","Darcy Moore","COL",1,5860,52
"1287","Brodie Grundy","COL",1,17080,84
"1288","Charlie Constable","GEE",1,7000,82
"1289","Tom Atkins","GEE",1,5000,44
"1290","Patrick Dangerfield","GEE",1,15740,103
"1291","Joel Selwood","GEE",1,13560,100
"1292","Steele Sidebottom","COL",1,14600,84
